"episode_id","channel","duration_sec","programme","has_remote_guest","covers_market_news","local_path","sha256","license_attestation","sample_rate","channels","codec","bit_rate_kbps","file_size_bytes","duration_flag","rejection_reason","sha256_verified","notes"
"ep001","RTV Business","3198.21","RTV Business Talk","False","False","datasets/অর্থনীতির এগিয়ে যাওয়া？ ｜ Muktobak ｜ মুক্তবাক ｜ ০৩ আগস্ট  ২০২৬ ｜ Channel 24 [B6J6vUAUYxg].wav","ed90b184fc0972319c11066ff1b1f9a3a1d754f2427c5d68e65941958c6262c3","UNVERIFIED — must be completed before Stage 4","48000","2","WAVE","1536","614056014","ok","","True",""
"ep002","RTV Business","2044.48","RTV Business Talk","False","False","datasets/ডিআইজি চট্টগ্রাম রেঞ্জ- সদ্য যোগদানকারী আব্দুল কুদ্দুস চৌধুরী পিপিএম । ভিন্নমতে সহমত  । [ljpq8HDheQY].wav","9504903a6581f223ed53ea2f19a90aed60074e6c1d6591acd9329a3ba5832783","UNVERIFIED — must be completed before Stage 4","48000","2","WAVE","1536","392540238","ok","","True",""
"ep003","RTV Business","3403.9","RTV Business Talk","False","False","datasets/বেসরকারি খাতে অর্থায়ন চ্যালেঞ্জ ｜ The Business Review ｜ Mousumi Islam ｜ Talk Show ｜ Kaler Kantho [VH_9r31gmeI].wav","ee3877f65873502166f1e1f2adee8a86b656808634b29768911c87aa8537b16d","UNVERIFIED — must be completed before Stage 4","48000","2","WAVE","1536","653549646","ok","","True",""
"ep004","RTV Business","2397.85","RTV Business Talk","False","False","datasets/বৈশ্বিক অর্থনৈতিক মন্দা ও বাংলাদেশ প্রেক্ষাপট ｜ Business Times ｜ Talk Show ｜ Desh TV [myJakGikMbA].wav","5dbd638dd858786e34e903c3b4898b9c8972193da9a63a00b5f753b06718ccc4","UNVERIFIED — must be completed before Stage 4","48000","2","WAVE","1536","460386386","ok","","True",""
"ep005","RTV Business","2198.6","RTV Business Talk","False","False","datasets/ভালো নেই অর্থনীতি, সরকারের সামনে বড় চ্যালেঞ্জ কী？ ｜ Bangladesh Economy ｜ The Business Standard [njw1ybNi5eM].wav","888e33fc5ecdbc7c411d6b8c0d69152880462673347e5e593317ff13d9e37755","UNVERIFIED — must be completed before Stage 4","48000","2","WAVE","1536","422132170","ok","","True",""
"ep006","RTV Business","1804.3","RTV Business Talk","False","False","datasets/অর্থনীতিতে স্বস্তি নাকি নতুন চাপ？ ｜ ATN Business & Finance ｜ ATN Bangla Talk Show [_keKEuINfFQ].mp3","2f8473a6880c9bee92e867c80303502faabd0a1e24afe0d22d2e94781041e80b","UNVERIFIED — must be completed before Stage 4","48000","2","MP3","79","17921948","ok","","True",""
"ep007","RTV Business","1545.31","RTV Business Talk","False","False","datasets/অর্থবছর বদলে কতটা বদলাবে বাংলাদেশর অর্থনীতি ｜ ATN Business & Finance ｜ ATN Bangla Talk Show [61H53sGVRKk].mp3","0d208e556dcc57c3f696f9d1012ae506c5b7b5a89926bef436ed3e8065ff22b2","UNVERIFIED — must be completed before Stage 4","48000","2","MP3","79","15367340","short","","True",""
"ep008","RTV Business","2851.85","RTV Business Talk","False","False","datasets/জ্বালানি সংকট কাটছে ! ｜ দেশ সন্ধ্যা ｜ Desh Sondha ｜ Bangla Talk Show ｜ Desh TV [8D0phC33tDA].mp3","636f798d2eb7a299cd4b319ec183122b6467008ff2906aff638504b0620a01aa","UNVERIFIED — must be completed before Stage 4","48000","2","MP3","78","27934868","ok","","True",""
"ep009","RTV Business","1800.65","RTV Business Talk","False","False","datasets/নতুন পে-স্ক্যাল বেতন বাড়বে, অর্থনীতিতে চাপ ｜ ATN Business & Finance ｜ ATN Bangla Talk Show [bkDhnv2Fgx4].mp3","d163c0c3b22006ced6fefc8a9ddc3068a683055dbca628b633a1246882ff753a","UNVERIFIED — must be completed before Stage 4","48000","2","MP3","80","18154052","ok","","True",""
"ep010","RTV Business","2887.32","RTV Business Talk","False","False","datasets/সরকারের রাজস্ব নীতিতে ঘুরবে কী অর্থনীতি？ ｜ প্রশ্নগুলো সহজ ｜ Talk Show ｜ Season 2 ｜ Global TV News [o9_88v_ZO9c].mp3","832420ef69553e9e896690e18c281cd5859ad798ec84629123faf047579c84c8","UNVERIFIED — must be completed before Stage 4","48000","2","MP3","74","27054500","ok","","True",""
