"episode_id","local_path","has_remote_guest","covers_market_news","notes"
"ep001","datasets/EP 30 Minutes Special 226_ Budget 2026-2027 - Green Transition and Energy Security.mp3","","","human review required"
"ep002","datasets/Talk show on current trade, investment and economic condition of Bangladesh..mp3","","","human review required"
"ep003","datasets/অরথনতক সকট ও বজট  The Business Review  Bangladesh Economy  Talk Show  Kaler Kantho.mp3","","","human review required"
"ep004","datasets/অনক করখন বনধ হয়ছ, সমন আরও কঠন পরসথত আসছ_ বটএমএ সভপত Star Biz Dialogue Star News.mp3","","","human review required"
"ep005","datasets/কয়কট বযক বদ বক সব বযকই সকট  ড. তফক আহমদ চধর Stream Talk  Dhaka Stream.mp3","","","human review required"
"ep006","datasets/যকতরষটরর ভমক থকত পর তব চনক বদ দয় রহঙগ সমসযর সমধন হব ন.mp3","","","human review required"
"ep007","datasets/Business A–Z _ ব্যবসা বাণিজ্য বিষয়ক অনুষ্ঠান _ বিজনেস এ টু জেড _ EP-29 _ GTV.mp3","","","human review required"
"ep008","datasets/অর্থনৈতিক বৈষম্য ও রাজস্ব খাত  _ ATN Business & Finance _ ATN Bangla Talkshow _.mp3","","","human review required"
"ep009","datasets/পোশাক শিল্প অর্ডার সংকটে বাংলাদেশ _ ATN Business & Finance _ ATN Bangla.mp3","","","human review required"
"ep010","datasets/বাংলাদেশ পোশাক শিল্প কম দামে বেশি উৎপাদনের মডেল _ ATN Business & Finance _ ATN Bangla Talk Show.mp3","","","human review required"
"ep011","datasets/ব্যাংক একীভূতকরণ ঝুঁকি নাকি সরকারের সিদ্ধান্ত  _ ATN Business & Finance _ ATN Bangla.mp3","","","human review required"
