"episode_id","local_path","has_remote_guest","covers_market_news","notes"
"ep001","datasets/অর্থনীতির এগিয়ে যাওয়া？ ｜ Muktobak ｜ মুক্তবাক ｜ ০৩ আগস্ট  ২০২৬ ｜ Channel 24 [B6J6vUAUYxg].wav","","","human review required"
"ep002","datasets/ডিআইজি চট্টগ্রাম রেঞ্জ- সদ্য যোগদানকারী আব্দুল কুদ্দুস চৌধুরী পিপিএম । ভিন্নমতে সহমত  । [ljpq8HDheQY].wav","","","human review required"
"ep003","datasets/বেসরকারি খাতে অর্থায়ন চ্যালেঞ্জ ｜ The Business Review ｜ Mousumi Islam ｜ Talk Show ｜ Kaler Kantho [VH_9r31gmeI].wav","","","human review required"
"ep004","datasets/বৈশ্বিক অর্থনৈতিক মন্দা ও বাংলাদেশ প্রেক্ষাপট ｜ Business Times ｜ Talk Show ｜ Desh TV [myJakGikMbA].wav","","","human review required"
"ep005","datasets/ভালো নেই অর্থনীতি, সরকারের সামনে বড় চ্যালেঞ্জ কী？ ｜ Bangladesh Economy ｜ The Business Standard [njw1ybNi5eM].wav","","","human review required"
"ep006","datasets/অর্থনীতিতে স্বস্তি নাকি নতুন চাপ？ ｜ ATN Business & Finance ｜ ATN Bangla Talk Show [_keKEuINfFQ].mp3","","","human review required"
"ep007","datasets/অর্থবছর বদলে কতটা বদলাবে বাংলাদেশর অর্থনীতি ｜ ATN Business & Finance ｜ ATN Bangla Talk Show [61H53sGVRKk].mp3","","","human review required"
"ep008","datasets/জ্বালানি সংকট কাটছে ! ｜ দেশ সন্ধ্যা ｜ Desh Sondha ｜ Bangla Talk Show ｜ Desh TV [8D0phC33tDA].mp3","","","human review required"
"ep009","datasets/নতুন পে-স্ক্যাল বেতন বাড়বে, অর্থনীতিতে চাপ ｜ ATN Business & Finance ｜ ATN Bangla Talk Show [bkDhnv2Fgx4].mp3","","","human review required"
"ep010","datasets/সরকারের রাজস্ব নীতিতে ঘুরবে কী অর্থনীতি？ ｜ প্রশ্নগুলো সহজ ｜ Talk Show ｜ Season 2 ｜ Global TV News [o9_88v_ZO9c].mp3","","","human review required"
