"batch","source_episode_id","canonical_episode_id","sha256","diarization","asr","fused","annotation_draft","processed_wav"
"previous","ep001","ep001","ed90b184fc0972319c11066ff1b1f9a3a1d754f2427c5d68e65941958c6262c3","True","True","True","True","False"
"previous","ep002","ep002","9504903a6581f223ed53ea2f19a90aed60074e6c1d6591acd9329a3ba5832783","True","True","True","True","False"
"previous","ep003","ep003","ee3877f65873502166f1e1f2adee8a86b656808634b29768911c87aa8537b16d","True","True","True","True","False"
"previous","ep004","ep004","5dbd638dd858786e34e903c3b4898b9c8972193da9a63a00b5f753b06718ccc4","True","True","True","True","False"
"previous","ep005","ep005","888e33fc5ecdbc7c411d6b8c0d69152880462673347e5e593317ff13d9e37755","True","True","True","True","False"
"new","ep001","ep006","2f8473a6880c9bee92e867c80303502faabd0a1e24afe0d22d2e94781041e80b","True","True","True","True","False"
"new","ep002","ep007","0d208e556dcc57c3f696f9d1012ae506c5b7b5a89926bef436ed3e8065ff22b2","True","True","True","True","False"
"new","ep003","ep008","636f798d2eb7a299cd4b319ec183122b6467008ff2906aff638504b0620a01aa","True","True","True","True","False"
"new","ep004","ep009","d163c0c3b22006ced6fefc8a9ddc3068a683055dbca628b633a1246882ff753a","True","False","False","False","False"
"new","ep005","ep010","832420ef69553e9e896690e18c281cd5859ad798ec84629123faf047579c84c8","True","False","False","False","False"
