speaker_key,true,pred,episode
2107001::ep001::S0,neutral,neutral,2107001::ep001
2107001::ep001::S1,negative,negative,2107001::ep001
2107001::ep001::S2,negative,negative,2107001::ep001
2107001::ep002::S0,neutral,neutral,2107001::ep002
2107001::ep002::S1,positive,neutral,2107001::ep002
2107001::ep002::S2,positive,mixed,2107001::ep002
2107001::ep003::S0,neutral,neutral,2107001::ep003
2107001::ep003::S1,mixed,mixed,2107001::ep003
2107001::ep003::S2,positive,positive,2107001::ep003
2107001::ep004::S0,negative,neutral,2107001::ep004
2107001::ep004::S1,negative,mixed,2107001::ep004
2107001::ep004::S2,negative,negative,2107001::ep004
2107004::ep001::S0,neutral,neutral,2107004::ep001
2107004::ep001::S1,negative,mixed,2107004::ep001
2107004::ep001::S2,negative,negative,2107004::ep001
2107004::ep002::S0,mixed,neutral,2107004::ep002
2107004::ep002::S1,positive,negative,2107004::ep002
2107004::ep002::S2,positive,positive,2107004::ep002
2107004::ep003::S0,negative,negative,2107004::ep003
2107004::ep003::S1,negative,mixed,2107004::ep003
2107004::ep003::S2,neutral,neutral,2107004::ep003
2107004::ep004::S0,neutral,neutral,2107004::ep004
2107004::ep004::S1,negative,negative,2107004::ep004
2107004::ep005::S0,negative,negative,2107004::ep005
2107004::ep005::S1,negative,neutral,2107004::ep005
2107004::ep006::S0,negative,negative,2107004::ep006
2107004::ep006::S1,neutral,negative,2107004::ep006
2107004::ep007::S0,neutral,neutral,2107004::ep007
2107004::ep007::S1,negative,negative,2107004::ep007
2107004::ep007::S2,mixed,negative,2107004::ep007
2107004::ep008::S0,neutral,neutral,2107004::ep008
2107004::ep008::S1,negative,negative,2107004::ep008
2107004::ep008::S2,negative,negative,2107004::ep008
2107004::ep009::S0,neutral,neutral,2107004::ep009
2107004::ep009::S1,negative,mixed,2107004::ep009
2107004::ep009::S2,negative,mixed,2107004::ep009
2107004::ep009::S3,negative,mixed,2107004::ep009
2107004::ep010::S0,neutral,neutral,2107004::ep010
2107004::ep010::S1,negative,mixed,2107004::ep010
2107004::ep010::S2,negative,negative,2107004::ep010
2107004::ep010::S3,negative,negative,2107004::ep010
2107006::ep001::S0,negative,neutral,2107006::ep001
2107006::ep001::S1,negative,negative,2107006::ep001
2107006::ep001::S2,negative,mixed,2107006::ep001
2107006::ep001::S3,negative,mixed,2107006::ep001
2107006::ep002::S0,negative,negative,2107006::ep002
2107006::ep002::S1,negative,negative,2107006::ep002
2107006::ep002::S2,negative,negative,2107006::ep002
2107006::ep002::S3,negative,negative,2107006::ep002
2107006::ep003::S0,negative,negative,2107006::ep003
2107006::ep003::S1,negative,negative,2107006::ep003
2107006::ep003::S2,negative,negative,2107006::ep003
2107006::ep003::S3,negative,negative,2107006::ep003
2107006::ep004::S0,negative,negative,2107006::ep004
2107006::ep004::S1,negative,negative,2107006::ep004
2107006::ep004::S2,negative,negative,2107006::ep004
2107006::ep004::S3,mixed,negative,2107006::ep004
2107006::ep005::S0,negative,neutral,2107006::ep005
2107006::ep005::S1,negative,negative,2107006::ep005
2107006::ep005::S2,positive,positive,2107006::ep005
2107006::ep005::S3,mixed,negative,2107006::ep005
2107006::ep006::S0,neutral,negative,2107006::ep006
2107006::ep006::S1,negative,mixed,2107006::ep006
2107006::ep006::S2,negative,negative,2107006::ep006
2107006::ep006::S3,positive,positive,2107006::ep006
2107006::ep006::S4,negative,mixed,2107006::ep006
2107006::ep007::S0,negative,negative,2107006::ep007
2107006::ep007::S1,negative,negative,2107006::ep007
2107006::ep007::S2,negative,negative,2107006::ep007
2107006::ep007::S3,negative,negative,2107006::ep007
2107006::ep008::S0,negative,negative,2107006::ep008
2107006::ep008::S1,negative,negative,2107006::ep008
2107006::ep008::S2,negative,mixed,2107006::ep008
