speaker_key,role,n_turns,n_words,judge,model,stance_score,transcript_quality
2107004::ep003::S1,guest,29,3518,negative,mixed,-0.55,fair
2107010::ep001::S0,guest,58,3259,negative,mixed,-0.45,fair
2107015::ep008::S1,guest,8,2995,negative,mixed,-0.65,fair
2107010::ep004::S1,guest,9,2890,negative,mixed,-0.75,fair
2107001::ep004::S1,guest,12,2722,negative,mixed,-0.4,fair
2107009::ep001::S2,guest,12,2374,negative,mixed,-0.6,fair
2107010::ep002::S1,guest,28,2337,negative,mixed,-0.45,fair
2107010::ep002::S2,guest,11,2236,negative,mixed,-0.3,fair
2107015::ep008::S2,guest,17,2226,positive,mixed,0.3,fair
2107006::ep005::S3,guest,8,2192,mixed,negative,0.15,fair
2107006::ep009::S2,guest,12,2164,negative,mixed,-0.55,fair
2107009::ep001::S1,guest,12,2069,mixed,negative,-0.2,fair
2107015::ep006::S1,guest,7,2010,negative,mixed,-0.4,fair
2107004::ep002::S1,guest,11,1937,positive,negative,0.35,fair
2107010::ep002::S0,host,21,1889,negative,neutral,-0.25,fair
2107006::ep009::S1,guest,11,1827,negative,mixed,-0.4,fair
2107006::ep006::S1,guest,10,1774,negative,mixed,-0.35,fair
2107015::ep004::S2,guest,9,1667,negative,mixed,-0.4,fair
2107001::ep002::S1,guest,18,1472,positive,neutral,0.6,poor
2107015::ep001::S3,guest,6,1461,mixed,negative,-0.2,fair
2107004::ep009::S1,guest,8,1383,negative,mixed,-0.4,fair
2107004::ep001::S1,guest,9,1338,negative,mixed,-0.5,fair
2107006::ep011::S2,guest,4,1323,positive,negative,0.35,fair
2107009::ep005::S1,guest,7,1310,negative,mixed,-0.8,fair
2107006::ep012::S3,guest,4,1196,negative,mixed,-0.45,fair
2107004::ep010::S1,guest,3,1145,negative,mixed,-0.4,fair
2107004::ep009::S3,guest,6,1113,negative,mixed,-0.55,fair
2107009::ep001::S0,host,22,1109,negative,neutral,-0.3,fair
2107006::ep008::S3,guest,4,1100,negative,mixed,-0.8,fair
2107015::ep004::S0,host,15,1088,negative,neutral,-0.3,fair
2107006::ep001::S2,guest,5,1003,negative,mixed,-0.55,fair
2107006::ep006::S4,minor,2,991,negative,mixed,-0.7,fair
2107009::ep003::S1,guest,6,963,positive,neutral,0.45,fair
2107006::ep008::S2,guest,5,961,negative,mixed,-0.45,fair
2107004::ep007::S2,guest,8,897,mixed,negative,0.2,fair
2107004::ep002::S0,host,11,882,mixed,neutral,0.05,fair
2107006::ep001::S3,guest,4,820,negative,mixed,-0.7,fair
2107006::ep004::S3,guest,4,751,mixed,negative,0.15,fair
2107015::ep001::S0,host,18,702,negative,neutral,-0.55,fair
2107006::ep005::S0,host,14,667,negative,neutral,-0.4,fair
2107006::ep001::S0,host,15,666,negative,neutral,-0.25,fair
2107001::ep002::S2,guest,4,657,positive,mixed,0.55,fair
2107015::ep006::S0,host,10,645,negative,neutral,-0.25,fair
2107010::ep004::S0,host,15,605,neutral,negative,-0.1,fair
2107015::ep008::S0,host,17,601,negative,neutral,-0.4,fair
2107006::ep006::S0,host,14,579,neutral,negative,0.0,fair
2107004::ep005::S1,host,24,577,negative,neutral,-0.3,fair
2107004::ep006::S1,host,12,577,neutral,negative,-0.2,fair
2107001::ep004::S0,host,16,568,negative,neutral,-0.35,fair
2107004::ep009::S2,guest,3,507,negative,mixed,-0.45,poor
2107015::ep002::S0,guest,3,111,neutral,mixed,-0.05,good
