"batch","source_episode_id","canonical_episode_id","sha256","diarization","asr","fused","annotation_draft","processed_wav"
"previous","ep001","ep001","33385930614491c9001f5ce0c7ac213e8b1acf4bbebea9ce5672a38ed7cf80ac","True","True","True","True","True"
"previous","ep002","ep002","210fad2e7915ef8f1c33232dd893ad4bb646ae78335fb215b7d50ce79a1c6a2b","True","True","True","True","True"
"previous","ep003","ep003","a266b4857a0e771a7777f5291324ee2019a4cb7f723526501c95e4d07b38136d","True","True","True","True","True"
"previous","ep004","ep004","8f18246d527cae5ffcc97056cd4d53011aba1136a9499a76f4bf6da669657fdf","True","True","True","True","True"
"previous","ep005","ep005","038ac707285f8eb345b4ec3bd5601cf5f6b8f74425694684d915e4f8dcf1ee93","True","True","True","True","True"
"previous","ep006","ep006","8ac83b89561d1b1f9911851503ab9923ecb4299a1e5ae91fd14e197d22bfcdcd","True","True","True","True","True"
"new","ep001","ep007","5a09196e015dd089270bfdb8e2721499794a1483660e219dd6ffd5e310cb18df","True","True","True","True","False"
"new","ep002","ep008","d0209a40a20cc0e7e769e0d6e7bf7ae78a615a7d7ebdefb14c093f1fdccbb536","True","True","True","True","False"
"new","ep003","ep009","963cdbac4bc56e4a66d5610eb3259edd700ed3fe1f025a9f2cb35d509363c580","True","True","True","True","False"
"new","ep004","ep010","82de162429e96ce159d52151f807de9d22b96a280925a3d5b4553d6f665ce946","True","True","True","True","False"
"new","ep005","ep011","05621bb9d43e47a2516980ef20e696a392f9c5fac6c95fc6aff026d5f77a8655","True","False","False","False","False"
